simulation: 1
Number: customer type: event: station: time: 
96, Corporate, Production complete, CSA Corporate 2 0, 11460.832921707879
98, Corporate, Creation, Source corporate, 11457.209534769052
98, Corporate, Production started, CSA Corporate 2 5, 11457.209534769052
98, Corporate, Production complete, CSA Corporate 2 5, 11665.163282591748
99, Corporate, Creation, Source corporate, 11753.766167618216
99, Corporate, Production started, CSA Corporate 2 5, 11753.766167618216
99, Corporate, Production complete, CSA Corporate 2 5, 11944.406420850393
102, Corporate, Creation, Source corporate, 11986.785767809371
102, Corporate, Production started, CSA Corporate 2 0, 11986.785767809371
102, Corporate, Production complete, CSA Corporate 2 0, 12218.47175305091
104, Corporate, Creation, Source corporate, 12079.502619314762
104, Corporate, Production started, CSA Corporate 2 6, 12079.502619314762
104, Corporate, Production complete, CSA Corporate 2 6, 12386.161836746203
108, Corporate, Creation, Source corporate, 13240.605260013284
108, Corporate, Production started, CSA Corporate 2 2, 13240.605260013284
108, Corporate, Production complete, CSA Corporate 2 2, 13491.342447154808
109, Corporate, Creation, Source corporate, 13189.659031302213
109, Corporate, Production started, CSA Corporate 2 1, 13189.659031302213
109, Corporate, Production complete, CSA Corporate 2 1, 13524.087401938012
110, Corporate, Creation, Source corporate, 13405.711379718641
110, Corporate, Production started, CSA Corporate 2 7, 13405.711379718641
110, Corporate, Production complete, CSA Corporate 2 7, 13549.02037213146
112, Corporate, Creation, Source corporate, 13965.316214196118
112, Corporate, Production started, CSA Corporate 2 3, 13965.316214196118
112, Corporate, Production complete, CSA Corporate 2 3, 14248.088957475904
113, Corporate, Creation, Source corporate, 14320.061617799638
113, Corporate, Production started, CSA Corporate 2 4, 14320.061617799638
113, Corporate, Production complete, CSA Corporate 2 4, 14500.532527306214
114, Corporate, Creation, Source corporate, 14219.08270994154
114, Corporate, Production started, CSA Corporate 2 2, 14219.08270994154
114, Corporate, Production complete, CSA Corporate 2 2, 14512.058487940067
116, Corporate, Creation, Source corporate, 14348.204101736883
116, Corporate, Production started, CSA Corporate 2 5, 14348.204101736883
116, Corporate, Production complete, CSA Corporate 2 5, 14566.6781916594
117, Corporate, Creation, Source corporate, 14562.900047683504
117, Corporate, Production started, CSA Corporate 2 6, 14562.900047683504
117, Corporate, Production complete, CSA Corporate 2 6, 14827.750329198163
120, Corporate, Creation, Source corporate, 14834.382107439404
120, Corporate, Production started, CSA Corporate 2 2, 14834.382107439404
120, Corporate, Production complete, CSA Corporate 2 2, 15168.028515411119
122, Corporate, Creation, Source corporate, 15062.29589485422
122, Corporate, Production started, CSA Corporate 2 8, 15062.29589485422
122, Corporate, Production complete, CSA Corporate 2 8, 15360.045801995911
124, Corporate, Creation, Source corporate, 15494.343595374892
124, Corporate, Production started, CSA Corporate 2 8, 15494.343595374892
124, Corporate, Production complete, CSA Corporate 2 8, 15658.443301454405
130, Corporate, Creation, Source corporate, 16188.221971266177
130, Corporate, Production started, CSA Corporate 2 7, 16188.221971266177
130, Corporate, Production complete, CSA Corporate 2 7, 16410.331829943792
132, Corporate, Creation, Source corporate, 16605.038626679383
132, Corporate, Production started, CSA Corporate 2 4, 16605.038626679383
132, Corporate, Production complete, CSA Corporate 2 4, 16701.817560395
134, Corporate, Creation, Source corporate, 16511.31093067283
134, Corporate, Production started, CSA Corporate 2 3, 16511.31093067283
134, Corporate, Production complete, CSA Corporate 2 3, 16820.81262042507
140, Corporate, Creation, Source corporate, 17320.203260407674
140, Corporate, Production started, CSA Corporate 2 9, 17320.203260407674
140, Corporate, Production complete, CSA Corporate 2 9, 17534.492599713296
141, Corporate, Creation, Source corporate, 17343.574088251607
141, Corporate, Production started, CSA Corporate 2 8, 17343.574088251607
141, Corporate, Production complete, CSA Corporate 2 8, 17589.03919729797
143, Corporate, Creation, Source corporate, 17520.463803298386
143, Corporate, Production started, CSA Corporate 2 0, 17520.463803298386
143, Corporate, Production complete, CSA Corporate 2 0, 17613.18511336556
144, Corporate, Creation, Source corporate, 17542.62837010546
144, Corporate, Production started, CSA Corporate 2 1, 17542.62837010546
144, Corporate, Production complete, CSA Corporate 2 1, 17754.009821395295
145, Corporate, Creation, Source corporate, 17569.781496070576
145, Corporate, Production started, CSA Corporate 2 4, 17569.781496070576
145, Corporate, Production complete, CSA Corporate 2 4, 17803.94333571193
146, Corporate, Creation, Source corporate, 17818.016812534468
146, Corporate, Production started, CSA Corporate 2 3, 17818.016812534468
146, Corporate, Production complete, CSA Corporate 2 3, 17972.47859528813
148, Corporate, Creation, Source corporate, 17806.752398335488
148, Corporate, Production started, CSA Corporate 2 1, 17806.752398335488
148, Corporate, Production complete, CSA Corporate 2 1, 18041.238900430646
149, Corporate, Creation, Source corporate, 17803.882546783552
149, Corporate, Production started, CSA Corporate 2 2, 17803.882546783552
149, Corporate, Production complete, CSA Corporate 2 2, 18067.95171223275
153, Corporate, Creation, Source corporate, 18268.924448659873
153, Corporate, Production started, CSA Corporate 2 2, 18268.924448659873
153, Corporate, Production complete, CSA Corporate 2 2, 18450.655447977213
162, Corporate, Creation, Source corporate, 18565.006389286635
162, Corporate, Production started, CSA Corporate 2 5, 18565.006389286635
162, Corporate, Production complete, CSA Corporate 2 5, 18822.426844248403
167, Corporate, Creation, Source corporate, 19440.972051777095
167, Corporate, Production started, CSA Corporate 2 4, 19440.972051777095
167, Corporate, Production complete, CSA Corporate 2 4, 19645.007133872234
171, Corporate, Creation, Source corporate, 19755.196853515157
171, Corporate, Production started, CSA Corporate 2 5, 19755.196853515157
171, Corporate, Production complete, CSA Corporate 2 5, 20046.704428473266
175, Corporate, Creation, Source corporate, 19956.273363317123
175, Corporate, Production started, CSA Corporate 2 2, 19956.273363317123
175, Corporate, Production complete, CSA Corporate 2 2, 20171.90169134139
179, Corporate, Creation, Source corporate, 20445.536342555723
179, Corporate, Production started, CSA Corporate 2 8, 20445.536342555723
179, Corporate, Production complete, CSA Corporate 2 8, 20629.232789413356
183, Corporate, Creation, Source corporate, 20525.21674009064
183, Corporate, Production started, CSA Corporate 2 9, 20525.21674009064
183, Corporate, Production complete, CSA Corporate 2 9, 20753.864546178746
185, Corporate, Creation, Source corporate, 20506.791158022406
185, Corporate, Production started, CSA Corporate 2 7, 20506.791158022406
185, Corporate, Production complete, CSA Corporate 2 7, 20812.76817896182
186, Corporate, Creation, Source corporate, 20519.53839991944
186, Corporate, Production started, CSA Corporate 2 3, 20519.53839991944
186, Corporate, Production complete, CSA Corporate 2 3, 20836.016023993125
190, Corporate, Creation, Source corporate, 20992.58331381263
190, Corporate, Production started, CSA Corporate 2 4, 20992.58331381263
190, Corporate, Production complete, CSA Corporate 2 4, 21239.96924054778
195, Corporate, Creation, Source corporate, 21471.65606822835
195, Corporate, Production started, CSA Corporate 2 5, 21471.65606822835
195, Corporate, Production complete, CSA Corporate 2 5, 21725.721401539933
200, Corporate, Creation, Source corporate, 21905.751272635443
200, Corporate, Production started, CSA Corporate 0 1, 21905.751272635443
200, Corporate, Production complete, CSA Corporate 0 1, 22078.294544890396
202, Corporate, Creation, Source corporate, 21883.16727055076
202, Corporate, Production started, CSA Corporate 0 0, 21883.16727055076
202, Corporate, Production complete, CSA Corporate 0 0, 22104.71240778211
212, Corporate, Creation, Source corporate, 22474.922904146948
212, Corporate, Production started, CSA Corporate 0 3, 22474.922904146948
212, Corporate, Production complete, CSA Corporate 0 3, 22619.274788720544
215, Corporate, Creation, Source corporate, 22725.467378962647
215, Corporate, Production started, CSA Corporate 0 4, 22725.467378962647
215, Corporate, Production complete, CSA Corporate 0 4, 22775.339429003896
223, Corporate, Creation, Source corporate, 22986.99470994626
223, Corporate, Production started, CSA Corporate 0 5, 22986.99470994626
223, Corporate, Production complete, CSA Corporate 0 5, 23139.589751406027
247, Corporate, Creation, Source corporate, 23659.859495632194
247, Corporate, Production started, CSA Corporate 0 7, 23659.859495632194
247, Corporate, Production complete, CSA Corporate 0 7, 23927.59068583056
251, Corporate, Creation, Source corporate, 24094.490789764066
251, Corporate, Production started, CSA Corporate 0 8, 24094.490789764066
251, Corporate, Production complete, CSA Corporate 0 8, 24193.67286397078
256, Corporate, Creation, Source corporate, 24259.487601685167
256, Corporate, Production started, CSA Corporate 0 9, 24259.487601685167
256, Corporate, Production complete, CSA Corporate 0 9, 24315.580843631473
260, Corporate, Creation, Source corporate, 24356.09566733141
260, Corporate, Production started, CSA Corporate 0 0, 24356.09566733141
260, Corporate, Production complete, CSA Corporate 0 0, 24656.9343104545
261, Corporate, Creation, Source corporate, 24633.49693715248
261, Corporate, Production started, CSA Corporate 0 2, 24633.49693715248
261, Corporate, Production complete, CSA Corporate 0 2, 24844.284945118587
264, Corporate, Creation, Source corporate, 24599.206752678947
264, Corporate, Production started, CSA Corporate 0 1, 24599.206752678947
264, Corporate, Production complete, CSA Corporate 0 1, 24889.61056652758
266, Corporate, Creation, Source corporate, 24771.44024620799
266, Corporate, Production started, CSA Corporate 0 4, 24771.44024620799
266, Corporate, Production complete, CSA Corporate 0 4, 24933.546993676882
283, Corporate, Creation, Source corporate, 25574.831266954345
283, Corporate, Production started, CSA Corporate 0 5, 25574.831266954345
283, Corporate, Production complete, CSA Corporate 0 5, 25824.02225190988
285, Corporate, Creation, Source corporate, 25758.71354599684
285, Corporate, Production started, CSA Corporate 0 3, 25758.71354599684
285, Corporate, Production complete, CSA Corporate 0 3, 25929.3197586416
292, Corporate, Creation, Source corporate, 25984.248919519825
292, Corporate, Production started, CSA Corporate 0 7, 25984.248919519825
292, Corporate, Production complete, CSA Corporate 0 7, 26117.425000769683
304, Corporate, Creation, Source corporate, 26303.3560784952
304, Corporate, Production started, CSA Corporate 0 8, 26303.3560784952
304, Corporate, Production complete, CSA Corporate 0 8, 26497.250832884347
323, Corporate, Creation, Source corporate, 26882.376290790682
323, Corporate, Production started, CSA Corporate 0 9, 26882.376290790682
323, Corporate, Production complete, CSA Corporate 0 9, 27188.634257157977
328, Corporate, Creation, Source corporate, 27009.6065397256
328, Corporate, Production started, CSA Corporate 0 5, 27009.6065397256
328, Corporate, Production complete, CSA Corporate 0 5, 27343.60292342099
336, Corporate, Creation, Source corporate, 27484.617294275256
336, Corporate, Production started, CSA Corporate 0 0, 27484.617294275256
336, Corporate, Production complete, CSA Corporate 0 0, 27673.449318055435
337, Corporate, Creation, Source corporate, 27570.514481794184
337, Corporate, Production started, CSA Corporate 0 2, 27570.514481794184
337, Corporate, Production complete, CSA Corporate 0 2, 27722.22151451312
338, Corporate, Creation, Source corporate, 27353.7928740277
338, Corporate, Production started, CSA Corporate 0 1, 27353.7928740277
338, Corporate, Production complete, CSA Corporate 0 1, 27758.719266289667
